company_id,city,source,name,credit_code,address,lng_wgs84,lat_wgs84,coord_source,coord_quality,business_scope,driver_num,vehicle_num,snapshot
,宁波,nb_company,,,,,,,missing,,21.0,19.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,54.0,32.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,40.0,40.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,6.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,5.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,19.0,11.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,11.0,16.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,11.0,9.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,6.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,33.0,21.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,13.0,12.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,19.0,23.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,64.0,60.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,9.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,23.0,20.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,20.0,19.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,18.0,17.0,2026-09-02
