site_id,litter_type,litter_name,amount_kg,is_sentinel,snapshot
nb_005a6591-a8a0-4689-bd3a-52b025f97141,Litter001,工程渣土,5580396.0,False,2026-09-02
nb_00b8b0c9-f020-4d50-a63d-43e6070c2919,Litter003,工程泥浆,2273000.0,False,2026-09-02
nb_947eee2f-2a78-486a-92d2-12444650ba90,Litter001,工程渣土,3796000.0,False,2026-09-02
nb_947eee2f-2a78-486a-92d2-12444650ba90,Litter002,工程弃料,3963000.0,False,2026-09-02
nb_448f81e4-1ba0-4c8f-bd1e-1613395d31c8,Litter001,工程渣土,2064600.0,False,2026-09-02
nb_448f81e4-1ba0-4c8f-bd1e-1613395d31c8,Litter003,工程泥浆,799500.0,False,2026-09-02
nb_2dfddbbe-6ecf-4d43-9cda-4231950811ef,Litter003,工程泥浆,6052000.0,False,2026-09-02
nb_a92a4f19-92be-42ea-984b-f50265142275,Litter001,工程渣土,3215358.0,False,2026-09-02
nb_a4e10a8a-b407-4946-a690-a55f1ee44055,Litter001,工程渣土,52200000.0,False,2026-09-02
nb_b6711f48-2ccf-42e3-81b3-3bcb547fe4ab,Litter001,工程渣土,5400000.0,False,2026-09-02
nb_1b531490-7e53-49f8-af4a-9bf68991f268,Litter001,工程渣土,36000000.0,False,2026-09-02
nb_6822ba9a-10de-4308-96e7-308615f44523,Litter001,工程渣土,11340000.0,False,2026-09-02
nb_16cd8dd5-df4b-4f3e-a568-71da89389f8e,Litter001,工程渣土,720000000.0,False,2026-09-02
nb_0d34aa05-b07c-4820-90a3-4dfd0fe56a3d,Litter001,工程渣土,4914000.0,False,2026-09-02
nb_698a6de3-59ff-4231-ba0f-1174493489f4,Litter003,工程泥浆,808200.0,False,2026-09-02
nb_c0f67ca9-1fb8-4219-b62a-eed024552ca4,Litter003,工程泥浆,3209000.0,False,2026-09-02
nb_69896b2c-3494-47b1-b868-d52ac20d0e04,Litter003,工程泥浆,3804000.0,False,2026-09-02
nb_ce703ab9-b1ad-4636-992f-35c5add38ef4,Litter001,工程渣土,53640000.0,False,2026-09-02
nb_ce703ab9-b1ad-4636-992f-35c5add38ef4,Litter003,工程泥浆,38610000.0,False,2026-09-02
nb_ce703ab9-b1ad-4636-992f-35c5add38ef4,Litter005,拆除弃料,1620000.0,False,2026-09-02
nb_e5d1ba24-f279-41c5-97b3-4ee84d15e0bd,Litter001,工程渣土,7200000.0,False,2026-09-02
nb_508651b5-dd57-40e6-a092-846973a89911,Litter001,工程渣土,5760000.0,False,2026-09-02
nb_c3193c80-ee46-4996-b5c4-c9d53617d1e1,Litter001,工程渣土,38880000.0,False,2026-09-02
nb_c3193c80-ee46-4996-b5c4-c9d53617d1e1,Litter003,工程泥浆,2340000.0,False,2026-09-02
nb_c3193c80-ee46-4996-b5c4-c9d53617d1e1,Litter005,拆除弃料,360000.0,False,2026-09-02
