city,source,date,biz_type,net_weight_kg,snapshot
绍兴,sx_weighbridge,2025-01-15,Delivery,1850,2026-09-02
绍兴,sx_weighbridge,2025-01-14,Delivery,300,2026-09-02
绍兴,sx_weighbridge,2025-01-12,Delivery,100,2026-09-02
绍兴,sx_weighbridge,2025-01-11,Delivery,250,2026-09-02
绍兴,sx_weighbridge,2025-01-10,Delivery,2850,2026-09-02
绍兴,sx_weighbridge,2025-01-09,Delivery,24700,2026-09-02
绍兴,sx_weighbridge,2025-01-09,Delivery,19500,2026-09-02
绍兴,sx_weighbridge,2025-01-09,Delivery,10250,2026-09-02
绍兴,sx_weighbridge,2025-01-09,Delivery,450,2026-09-02
绍兴,sx_weighbridge,2025-01-08,Transfer,5750,2026-09-02
绍兴,sx_weighbridge,2025-01-08,Delivery,3600,2026-09-02
绍兴,sx_weighbridge,2025-01-08,Delivery,98600,2026-09-02
绍兴,sx_weighbridge,2025-01-08,Receipt,18850,2026-09-02
绍兴,sx_weighbridge,2025-01-08,Delivery,23200,2026-09-02
绍兴,sx_weighbridge,2025-01-07,Delivery,1900,2026-09-02
绍兴,sx_weighbridge,2025-01-07,Delivery,115900,2026-09-02
绍兴,sx_weighbridge,2025-01-06,Transfer,23700,2026-09-02
绍兴,sx_weighbridge,2025-01-06,Delivery,62900,2026-09-02
绍兴,sx_weighbridge,2025-01-06,Delivery,87550,2026-09-02
绍兴,sx_weighbridge,2025-01-06,Receipt,9250,2026-09-02
绍兴,sx_weighbridge,2025-01-06,Delivery,4800,2026-09-02
绍兴,sx_weighbridge,2025-01-05,Receipt,61800,2026-09-02
绍兴,sx_weighbridge,2025-01-05,Delivery,149300,2026-09-02
绍兴,sx_weighbridge,2025-01-05,Transfer,11300,2026-09-02
绍兴,sx_weighbridge,2025-01-05,Delivery,50400,2026-09-02
绍兴,sx_weighbridge,2025-01-05,Delivery,3950,2026-09-02
绍兴,sx_weighbridge,2025-01-04,Delivery,13050,2026-09-02
绍兴,sx_weighbridge,2025-01-04,Delivery,1800,2026-09-02
绍兴,sx_weighbridge,2025-01-04,Transfer,10250,2026-09-02
绍兴,sx_weighbridge,2025-01-04,Transfer,10150,2026-09-02
绍兴,sx_weighbridge,2025-01-03,Delivery,26850,2026-09-02
绍兴,sx_weighbridge,2025-01-03,Transfer,11300,2026-09-02
绍兴,sx_weighbridge,2025-01-03,Delivery,10900,2026-09-02
绍兴,sx_weighbridge,2025-01-03,Receipt,10400,2026-09-02
绍兴,sx_weighbridge,2025-01-03,Delivery,5100,2026-09-02
绍兴,sx_weighbridge,2025-01-02,Delivery,64750,2026-09-02
绍兴,sx_weighbridge,2025-01-02,Delivery,70150,2026-09-02
绍兴,sx_weighbridge,2025-01-02,Delivery,22000,2026-09-02
绍兴,sx_weighbridge,2025-01-02,Transfer,10200,2026-09-02
绍兴,sx_weighbridge,2025-01-02,Delivery,35750,2026-09-02
绍兴,sx_weighbridge,2025-01-02,Receipt,7500,2026-09-02
绍兴,sx_weighbridge,2025-01-02,Delivery,55350,2026-09-02
绍兴,sx_weighbridge,2025-01-01,Receipt,9450,2026-09-02
绍兴,sx_weighbridge,2025-01-01,Delivery,24300,2026-09-02
绍兴,sx_weighbridge,2025-01-01,Delivery,39400,2026-09-02
绍兴,sx_weighbridge,2025-01-01,Delivery,14350,2026-09-02
绍兴,sx_weighbridge,2024-12-31,Transfer,9200,2026-09-02
绍兴,sx_weighbridge,2024-12-31,Delivery,118650,2026-09-02
绍兴,sx_weighbridge,2024-12-31,Receipt,176700,2026-09-02
绍兴,sx_weighbridge,2024-12-31,Delivery,107400,2026-09-02
绍兴,sx_weighbridge,2024-12-31,Delivery,8800,2026-09-02
绍兴,sx_weighbridge,2024-12-30,Receipt,512000,2026-09-02
绍兴,sx_weighbridge,2024-12-30,Delivery,41100,2026-09-02
绍兴,sx_weighbridge,2024-12-30,Delivery,7000,2026-09-02
绍兴,sx_weighbridge,2024-12-29,Delivery,6050,2026-09-02
绍兴,sx_weighbridge,2024-12-29,Delivery,81800,2026-09-02
