name,archetype,maturity,n,m,n_trips
SX-L3-n3-s1,SX,L3,3,2,95
SX-L3-n3-s2,SX,L3,3,2,135
SX-L3-n5-s1,SX,L3,5,3,161
SX-L3-n5-s2,SX,L3,5,3,72
SX-L3-n5-s3,SX,L3,5,3,55
SX-L3-n10-s1,SX,L3,10,4,493
SX-L3-n10-s2,SX,L3,10,4,242
SX-L3-n10-s3,SX,L3,10,4,193
SX-L3-n10-s4,SX,L3,10,4,249
SX-L3-n10-s5,SX,L3,10,4,295
SX-L3-n20-s1,SX,L3,20,6,885
SX-L3-n20-s2,SX,L3,20,6,345
SX-L3-n20-s3,SX,L3,20,6,448
SX-L3-n20-s4,SX,L3,20,6,373
SX-L3-n20-s5,SX,L3,20,6,433
SX-L3-n30-s1,SX,L3,30,8,1191
SX-L3-n30-s2,SX,L3,30,8,1426
SX-L2-n3-s1,SX,L2,3,2,95
SX-L2-n3-s2,SX,L2,3,2,135
SX-L2-n5-s1,SX,L2,5,3,161
SX-L2-n5-s2,SX,L2,5,3,72
SX-L2-n5-s3,SX,L2,5,3,55
SX-L2-n10-s1,SX,L2,10,4,493
SX-L2-n10-s2,SX,L2,10,4,242
SX-L2-n10-s3,SX,L2,10,4,193
SX-L2-n10-s4,SX,L2,10,4,249
SX-L2-n10-s5,SX,L2,10,4,295
SX-L2-n20-s1,SX,L2,20,6,885
SX-L2-n20-s2,SX,L2,20,6,345
SX-L2-n20-s3,SX,L2,20,6,448
SX-L2-n20-s4,SX,L2,20,6,373
SX-L2-n20-s5,SX,L2,20,6,433
SX-L2-n30-s1,SX,L2,30,8,1191
SX-L2-n30-s2,SX,L2,30,8,1426
SX-L1-n3-s1,SX,L1,3,2,95
SX-L1-n3-s2,SX,L1,3,2,135
SX-L1-n5-s1,SX,L1,5,3,161
SX-L1-n5-s2,SX,L1,5,3,72
SX-L1-n5-s3,SX,L1,5,3,55
SX-L1-n10-s1,SX,L1,10,4,493
SX-L1-n10-s2,SX,L1,10,4,242
SX-L1-n10-s3,SX,L1,10,4,193
SX-L1-n10-s4,SX,L1,10,4,249
SX-L1-n10-s5,SX,L1,10,4,295
SX-L1-n20-s1,SX,L1,20,6,885
SX-L1-n20-s2,SX,L1,20,6,345
